album,song,word_count,tb_polarity,tb_subjectivity,tb_sentiment,vader_compound,vader_positive,vader_negative,vader_neutral,vader_sentiment
LavenderHaze_Remixes_,Lavenderhaze Tensnakeremix,294,0.09242424242424245,0.7903030303030304,neutral,-0.9833,0.079,0.15,0.772,negative
Red_TaylorsVersion_,Ronan Taylorsversion,330,0.24900793650793648,0.5125992063492064,positive,0.9857,0.137,0.062,0.8,positive
Red_TaylorsVersion_,Staystaystay Taylorsversion,357,0.04320175438596491,0.8133040935672515,neutral,0.9891,0.226,0.158,0.616,positive
Red_TaylorsVersion_,Ibetyouthinkaboutme Taylorsversion Fromthevault,515,0.2032738095238095,0.5163690476190477,positive,0.9971,0.195,0.057,0.748,positive
Red_TaylorsVersion_,Weareneverevergettingbacktogether Taylorsversion,404,0.011044973544973543,0.20363756613756614,neutral,0.9957,0.165,0.054,0.781,positive
Red_TaylorsVersion_,Stateofgrace Taylorsversion,287,0.1618159618159618,0.5377289377289378,positive,0.9963,0.237,0.087,0.676,positive
Red_TaylorsVersion_,Alltoowell 10Minuteversion Taylorsversion Fromthevault,1005,0.05635321468654802,0.46479878146544795,neutral,0.9979,0.135,0.059,0.806,positive
Red_TaylorsVersion_,Everythinghaschanged Taylorsversion,509,0.34931257014590344,0.4473264389931057,positive,0.9987,0.212,0.01,0.778,positive
Red_TaylorsVersion_,Amessagefromtaylor,59,0.16590909090909092,0.5090909090909091,positive,0.8316,0.248,0.152,0.6,positive
Red_TaylorsVersion_,Taylorsversion,426,0.15178571428571427,0.6181547619047619,positive,0.9981,0.251,0.068,0.681,positive
Red_TaylorsVersion_,Babe Taylorsversion Fromthevault,401,-0.012179487179487181,0.21089743589743587,neutral,0.9331,0.117,0.075,0.808,positive
Red_TaylorsVersion_,Theveryfirstnight Taylorsversion Fromthevault,416,0.22361111111111115,0.3491452991452992,positive,0.9826,0.113,0.059,0.828,positive
Red_TaylorsVersion_,Alltoowell Taylorsversion,489,0.06689189189189189,0.4574324324324325,neutral,0.9883,0.129,0.065,0.806,positive
Red_TaylorsVersion_,Beginagain Taylorsversion,357,0.046226318484383,0.4073067076292883,neutral,0.993,0.138,0.042,0.82,positive
Red_TaylorsVersion_,Sadbeautifultragic Taylorsversion,224,0.17369854721549632,0.7851392251815983,positive,0.9974,0.352,0.154,0.494,positive
Red_TaylorsVersion_,Nothingnew Taylorsversion Fromthevault,428,0.134013209013209,0.4690753690753691,positive,0.9883,0.139,0.05,0.81,positive
